Date,Amount,Purpose,Campaign Name,Payee Name,cpf_payee_info_address,city_name,state_abbreviation,zip_code,Campaign Type,Race,District Number,,,,
6/19/2017,1000,Donation,Albus Brooks for City Council,Brother Jeff Fard's Cultural Center,2836 Welton St.,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
6/19/2017,14,Webservices,Democracy for the People,Wix.com,235 West 23rd Street, 8th Floor,New York,NY,10011,Issue,,,,,
6/19/2018,2,Debit Card Fee,Jolon Clark for Denver,First Bank of Colorado,1316 E. Evans Ave.,Denver,CO,80210,Candidate,District Councilmember,Council District 7,,,,
6/19/2018,20.29,Food-Meeting,Colleen 4 Denver,Annie's Cafe and Bar,3100 E. Colfax Ave.,Denver,CO,80206,Candidate,District Councilmember,Council District 4,,,,
6/19/2018,100,Van Voter Access,Colleen 4 Denver,ACTBLUE DEM CO (VAN),1445 New York Ave, NW #200,Washington,DC,20005,Candidate,District Councilmember,Council District 4,,,
6/19/2018,13.61,Photo Copy,Mark For Council,Colorado History Museum,1200 Broadway,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
6/20/2016,21.34,Office Supplies,Albus Brooks for City Council,Walgreens,801 16th st ,Denver,CO,80202,Candidate,District Councilmember,Council District 8,,,,
6/20/2016,24,Food and Beverage,Albus Brooks for City Council,Station 26 Brewing,7045 E 38th Ave,Denver,CO,80207,Candidate,District Councilmember,Council District 8,,,,
2/8/2019,167.8,lgbtqia training expense/CA networking,Committee of the People to Elect Miguel Ceballos-Ruiz ,Hotwire,655 Montgomery Street Suite 600,San Francisco,CA,94111,Candidate,District Councilmember,Council District 8,,,,
2/8/2019,750,Campaign Management,Blair Taylor for Denver,SteeleStrategies,925 East 8th Ave. #103,Denver,CA,80218,Candidate,District Councilmember,Council District 8,,,,
2/8/2019,3.65,Campaign Meeting,Friends of Patrick Thibault,Pablo's Coffee,630 E 6th Ave,Denver,CO,80203,Candidate,District Councilmember,Council District 8,,,,
2/8/2019,12.82,Food/Beverage,Lopez for Denver,Winchell's Donut House,5195 W. 1st Ave.,Denver,CO,80219,Candidate,Clerk & Recorder,,,,,
2/8/2019,1000,Fundraising,Fryfor5,Bison Fundraising LLC,1455 Gilpin,Denver,CO,80218,Candidate,District Councilmember,Council District 5,,,,
2/8/2019,960,LEGAL FEES,Tate for Mayor,Keating Wagner Polidori Free,1290 Broadway, Suite 600,Denver,CO,80203,Candidate,Mayor,,,,
2/8/2019,108.31,Catering,Lisa For Denver Mayor ,Wallaby Liquors,1550 S Parker Rd,Denver,CO,80231,Candidate,Mayor,,,,,
2/8/2019,538.42,marketing,Tony for Denver,C & D Printing, 5351 Tennyson St #1c,Denver,CO,80212,Candidate,District Councilmember,Council District 10,,,,
2/8/2019,25000,Loan Repayment,Jamie For Denver,Jamie Giellis,1545 S Ogden St,Denver,CO,80210,Candidate,Mayor,,,,,
2/8/2019,21.18,Supplies,Sabados For Denver,Target,1985 Sheridan Blvd,Edgewater,CO,80214,Candidate,District Councilmember,Council District 1,,,,
2/8/2019,1.05,Fees,Sabados For Denver,ActBlue,PO Box 441146,Somerville,MA,2144,Candidate,District Councilmember,Council District 1,,,,
2/8/2019,3001,CAMPAIGN MANAGEMENT,Somma for Denver District 1,Double G&J Strategies,10757 E 26th Ave,Denver,CO,80238,Candidate,District Councilmember,Council District 1,,,,
2/8/2019,775,WEBSITE DEVELOPMENT AND HOSTING,Somma for Denver District 1,TURN IT BLUE DIGITAL TOOL KITS,1919 14TH STREET, SUITE 700,Boulder,CO,80302,Candidate,District Councilmember,Council District 1,,,
2/8/2019,303,Union prinited buttons and stickers,Amanda Sandoval for Council ,Dr. Don's Buttons, Badges & More,3906 W. Morrow Drive ,Glendale,AZ,85308,Candidate,District Councilmember,Council District 1,,,
2/8/2019,8.25,Credit card processing fee,Amanda Sandoval for Council ,Vantiv eCommerce Funds,900 Chelmsford Street,Lowell,MA,1851,Candidate,District Councilmember,Council District 1,,,,
2/8/2019,1825.03, Union print remit envelopes, biz cards, placards, vinyl banner, ,Amanda Sandoval for Council ,Campaign Products Of The Rockies,P.O. Box 13365,Denver,CO,80201,Candidate,District Councilmember,Council District 1
2/8/2019,3536.77,Union printed yard signs and wire frames,Amanda Sandoval for Council ,Campaign Products Of The Rockies,P.O. Box 13365,Denver,CO,80201,Candidate,District Councilmember,Council District 1,,,,
2/8/2019,129.54,Office Supplies,Scott 4 Denver,Target,4301 E Virginia Ave,Glendale,CO,80246,Candidate,District Councilmember,Council District 1,,,,
2/9/2017,15,Bank Fees,O'Brien for Auditor,MidFirst Bank,2805 S Colorado Blvd,Denver,CO,80222,Candidate,Auditor,,,,,
2/9/2018,1250,Campaign Audit,Albus Brooks for City Council,Chajito Montoya/Check 1424,PO Box 181268,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,,
2/9/2018,18.18,Meal with Campaign Advisor,Kayvan for Denver,Wahoo Fish Tacos,1233 Colorado Blvd,Denver,CO,80246,Candidate,Mayor,,,,,
2/9/2019,331.5,Community Food/Beverage,Albus Brooks for City Council,Improper City,3201 Walnut Street, Suite 101,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,
2/9/2019,1499,Campaign Ad,Wayne New for City Council,Colorado Community Media,750 West Hampden Ave,Englewood,CO,80110,Candidate,District Councilmember,Council District 10,,,,
2/9/2019,164.05,copies,Denver Right to Survive Initiative Committee,FedEx Office,333 W. Hampden Ave,Englewood,CO,80110,Issue,,,,,,
2/9/2019,31.56,Event Supplies,Erik Penn for Denver City Council District 8,Target,7930 Northfield Blvd,Denver,CO,80203,Candidate,District Councilmember,Council District 8,,,,
2/9/2019,396,Campaign staff,Sawyer for Denver City Council,Sawyer Campaign ,Null,Denver,CO,80220,Candidate,District Councilmember,Council District 5,,,,
2/9/2019,17.8,Canvas Food & Bev,Friends of Patrick Thibault,Dominos,8031 E. Colfax Ave,Denver,CO,80220,Candidate,District Councilmember,Council District 8,,,,
2/9/2019,5.21,Web Hosting,Lopez for Denver,GODADDY.COM,14445 N Hayden Rd,Scottsdale,AZ,85260,Candidate,Clerk & Recorder,,,,,
2/9/2019,29.83,Food/Beverage,Lopez for Denver,Lamars Donuts,990 W. 6th Ave.,Denver,CO,80204,Candidate,Clerk & Recorder,,,,,
2/9/2019,550,Catering,Lisa For Denver Mayor ,Hugo Quintana,1750 S. Federal Blvd Apt 30,Denver,CO,80219,Candidate,Mayor,,,,,
2/10/2016,2500,CONTRIBUTION,CWA-COPE PCC,COLORADO DEMOCRATIC PARTY,777 Sante Fe Drive,Denver,CO,80204,PAC,,,,,,
2/10/2017,139.67,Constituent-Food & Beverage,Albus Brooks for City Council,Stout Street Social,1400 Stout St.,Denver,CO,80202,Candidate,District Councilmember,Council District 8,,,,
2/10/2017,300,Photography Services,Albus Brooks for City Council,Brien Excell Hollowell,2390 S. Quebec St., # 302,Denver,CO,80231,Candidate,District Councilmember,Council District 8,,,
2/10/2019,22.91,Event catering,Lisa For Denver Mayor ,King Soopers - Leetsdale,4600 Leetsdale Dr,Glendale,CO,80246,Candidate,Mayor,,,,,
2/10/2019,36.3,Robocall,Lisa For Denver Mayor ,Robodial - Stripe,510 Townsend Street,San Francisco,CA,94103,Candidate,Mayor,,,,,
2/11/2016,226.39,Cell Phone,Hancock for Denver,Verizon Wireless,7000 Central Ave. SW,Albuquerque,NM,87121,Candidate,Mayor,,,,,
2/11/2019,325,Cell Phone Bill,Albus Brooks for City Council,AT&T,208 S Akard St., Ste. 110,Dallas,TX,75202,Candidate,District Councilmember,Council District 8,,,
2/11/2019,2470,Compliance Consulting,Albus Brooks for City Council,RKG Development,656 Rock Ridge Drive,Lafayette,CO,80026,Candidate,District Councilmember,Council District 8,,,,
3/1/2019,338.74,Event Food & Beverage,Hancock for Denver,Fire Restaurant,1201 Broadway,Denver,CO,80203,Candidate,Mayor,,,,,
3/1/2019,78.23,Advertising,Kniech for Council At-Large,MailChimp,512 Means St. Suite 404,Atlanta,GA,30318,Candidate,Council-At-Large,,,,,
3/1/2019,7.46,Refreshments,Ortega at Large,King Soopers,1331 Speer Blvd,Denver,CO,80204,Candidate,Council-At-Large,,,,,
3/1/2019,10,Fee,Ortega at Large,FirstBank,PO Box 150097,Lakewood,CO,80215,Candidate,Council-At-Large,,,,,
3/1/2019,30,Data,Ortega at Large,NGP VAN,48 Grove St #202,Somerville,MA,2144,Candidate,Council-At-Large,,,,,
3/1/2019,52.16,Email Marketing,Jolon Clark for Denver,Mail Chimp,675 Ponce de Leon Ave NE Suite 5000,Atlanta,GA,30308,Candidate,District Councilmember,Council District 7,,,,
3/1/2019,10,G Suite fee,Friends for Kevin Flynn,Google,1600 Amphitheatre Parkway ,Mountain View,CA,94043,Candidate,District Councilmember,Council District 2,,,,
3/1/2019,9,Account fee,Friends for Kevin Flynn,1stBank,PO Box 150097,Lakewood,CO,80215,Candidate,District Councilmember,Council District 2,,,,
3/1/2019,500,Campaign management,Friends for Kevin Flynn,Nathan Steele,925 E 8th Ave. #105 ,Denver,CO,80218,Candidate,District Councilmember,Council District 2,,,,
3/1/2019,330,campaign presentations,O'Brien for Auditor,Pat Lombardi Design,765 Barberry Circle,Lafayette,CO,80026,Candidate,Auditor,,,,,
3/1/2019,4047.26,Printing,Committee to Elect Stacie Gilmore,Gambino ,P.O. Box 9839,Denver,CO,80209,Candidate,District Councilmember,Council District 11,,,,
3/1/2019,1050,Advertising,Committee to Elect Stacie Gilmore,Outdoor Promotions,7100 North Broadway,Denver,CO,80221,Candidate,District Councilmember,Council District 11,,,,
3/1/2019,400,Photography,Perl for Denver,Samantha Emerson,1542 Fillmore St ,Denver,CO,80206,Candidate,Clerk & Recorder,,,,,
3/1/2019,9388.25,Staffing,Chris for Denver,Chris for Denver,PO Box 18423,Denver,CO,80218,Candidate,District Councilmember,Council District 10,,,,
3/1/2019,32.01,Facebook ads,Chris for Denver,Facebook ,1 Hacker Way,Menlo Park,CA,94025,Candidate,District Councilmember,Council District 10,,,,
3/1/2019,17.5,stamps, was not reimbursed until this reporting period, receipt was misplaced,Jamie Torres for Council,USPS,951 20th St,Denver,CO,80202,Candidate,District Councilmember,Council District 3,,
3/1/2019,150,Van Voters subscription,Blair Taylor for Denver,NGP,1445 New York Ave. NW #200,Washington,DC,20005,Candidate,District Councilmember,Council District 8,,,,
3/1/2019,66,Office needs,Sawyer for Denver City Council,Walmart,9901 Grant St,Thornton,CO,80229,Candidate,District Councilmember,Council District 5,,,,
3/1/2019,300,Campaign staff,Sawyer for Denver City Council,Independent consultant for Sawyer Campaign ,10045 W 59th Ave Unit 101,Arvada,CO,80004,Candidate,District Councilmember,Council District 5,,,,
3/1/2019,409,print marketing,Sawyer for Denver City Council,Glendale Cherry Creek Chronicle ,PO Box 460429,Glendale,CO,80246,Candidate,District Councilmember,Council District 5,,,,
3/1/2019,57.79,food/Beverage,Lopez for Denver,City O City,206 E. 13th Ave,Denver,CO,80203,Candidate,Clerk & Recorder,,,,,
3/1/2019,75,Design Services,Lopez for Denver,Pat Lombardi,765 Barberry Circle,Lafayette,CO,80026,Candidate,Clerk & Recorder,,,,,
3/1/2019,198.29,Food/Beverage,Lopez for Denver,Tamales by La Casita,3561 Tejon St,Denver,CO,80211,Candidate,Clerk & Recorder,,,,,
3/1/2019,680,Fees,Lopez for Denver,La Rumba,99 W. 9th Ave.,Denver,CO,80204,Candidate,Clerk & Recorder,,,,,
3/1/2019,2500,LEGAL FEES,Tate for Mayor,Keating Wagner Polidori Free,1290 Broadway, Suite 600,Denver,CO,80203,Candidate,Mayor,,,,
3/1/2019,2887.5,ADVERTISING,Tate for Mayor,Brink Media,1100 S. 6th Ave,Tucson,AZ,85701,Candidate,Mayor,,,,,
3/1/2019,249,Postage,Lisa For Denver Mayor ,USPS,951 20th St,Denver,CO,80202,Candidate,Mayor,,,,,
3/1/2019,150,Event Ticket,Lisa For Denver Mayor ,Lance Wheeland,1673 S Trenton Street,Denver,CO,80231,Candidate,Mayor,,,,,
3/1/2019,216.97,Fundraising Expense,Jamie For Denver,Square, Inc,500 Enterprise Dr Suite 5000,Flower Mound,TX,75028,Candidate,Mayor,,,,
3/1/2019,10.43,Email Service,Sabrina for NW Denver,mailchimp,675  Ponce de Leon Ave NE suite 5000,Atlanta,GA,30308,Candidate,District Councilmember,Council District 1,,,,
3/1/2019,327.74,Business Cards, Design,Sabrina for NW Denver,Yellow Dog Printing & Graphics,490 S Santa Fe Dr. Unit A,Denver,CO,80223,Candidate,District Councilmember,Council District 1,,,
3/1/2019,1353.88,Yard Signs,Sabrina for NW Denver,Artist Proof Collective,760Umatilla St.,Denver,CO,80204,Candidate,District Councilmember,Council District 1,,,,
3/1/2019,400,business cards and yard signs,Replin for District 5,Stephen Replin,1660 South Albion St,Denver,CO,80222,Candidate,District Councilmember,Council District 5,,,,
3/1/2019,16000,Contribution,Fire Fighters Interested in Registration and Education,Friends of Mike Somma,12 Lakeside Lane,Denver,CO,80212,PAC,,,,,,
3/2/2016,15,Email,Nevitt for Auditor,Google Apps,1600 Amphitheatre Parkway,Mountain View,CO,94043,Candidate,Auditor,,,,,
3/2/2017,30.22,Event Food,Denver Green Roof Initiative,King Soopers,5301 W 38th Ave,Wheat Ridge,CO,80212,Issue,,,,,,
3/2/2018,37.39,Food/Beverage,Albus Brooks for City Council,Drew Pearson's Sports 88,2400 Aviation Dr., DFW Airport,Dallas,TX,75261,Candidate,District Councilmember,Council District 8,,,
3/2/2018,50,Postage,Ortega at Large,Sunnyside PSA,1766 W 46th Ave,Denver,CO,80211,Candidate,Council-At-Large,,,,,
3/2/2018,150,monthly software license,Perl for Denver,NGP VAN Inc,1445 New York Ave NW Ste 200 ,Washington,DC,20005,Candidate,Clerk & Recorder,,,,,
3/2/2018,73.53,Merchant Card Processing Fees,Perl for Denver,Direct Connect,3901 Centerview Dr Ste W ,Chantilly,VA,20151,Candidate,Clerk & Recorder,,,,,
1/16/2019,14.1,Dowel for Campaign banner,Committee To Elect Chairman Seku,Home Depot,3870 Quebec St,Denver,CO,80205,Candidate,Mayor,,,,,
1/16/2019,11.92,Service Fee,Kayvan for Denver,The Denver Post,101 West Colfax,Denver,CO,80204,Candidate,Mayor,,,,,
1/16/2019,455.67,Printing,Candi for Council ,C&D Printing, Inc.,5351 Tennyson St. #1C,Denver,CO,80212,Candidate,District Councilmember,Council District 9,,,
1/16/2019,5.32,Meeting,Denver Psilocybin Initiative,Bardo Coffeehouse,6150 W. 38th Ave,Wheat Ridge,CO,80033,Issue,,,,,,
1/16/2019,5.32,Meeting,Denver Psilocybin Initiative,Bardo Coffeehouse,6150 W. 38th Ave,Wheat Ridge,CO,80033,Issue,,,,,,
1/16/2019,250,Campaign Manager,Erik Penn for Denver City Council District 8,Emily Hiltz,1341 Washington,Denver,CO,80203,Candidate,District Councilmember,Council District 8,,,,
1/16/2019,41,PO Box,Erik Penn for Denver City Council District 8,USPS,4710 Nome St.,Denver,CO,80239,Candidate,District Councilmember,Council District 8,,,,
1/16/2019,32.17,Event tickets,Committee for Veronica Barela Dist. 3,CO Women's Legislative Breakfast,1370 Grant St #300,Denver,CO,80203,Candidate,District Councilmember,Council District 3,,,,
1/16/2019,108,Campaign staff,Sawyer for Denver City Council,self,10045 W 59th Ave Unit 101,Arvada,CO,80004,Candidate,District Councilmember,Council District 5,,,,
1/16/2019,90.25,Mail Servieces,Lopez for Denver,Constant  Contact,3675 Precision Dr,Loveland,CO,80538,Candidate,Clerk & Recorder,,,,,
1/16/2019,1700,Consulting,Lopez for Denver,Chris Rork,2457 S. Krameria St.,Denver,CO,80222,Candidate,Clerk & Recorder,,,,,
1/16/2019,10.43,Mail Servieces,Lopez for Denver,Mail Chimp,675 Ponce de Leon Ave NE,Atlanta,GA,30308,Candidate,Clerk & Recorder,,,,,
1/16/2019,105,STAMPS,Tate for Mayor,US POSTAL SERVICE,951 20TH STREET,Denver,CO,80202,Candidate,Mayor,,,,,
1/16/2019,14.92,Event Expenses,Lisa For Denver Mayor ,Walgreens,951 20th St,Denver,CO,80202,Candidate,Mayor,,,,,
1/16/2019,200,VAN License,Lisa For Denver Mayor ,Colorado Democratic Party,789 Sherman St #110,Denver,CO,80203,Candidate,Mayor,,,,,
1/16/2019,0.75,Fees,Sabados For Denver,ActBlue,PO Box 441146,Somerville,MA,2144,Candidate,District Councilmember,Council District 1,,,,
1/16/2019,400,VAN Access,Amanda Sandoval for Council ,Colorado Democratic Party,789 Sherman St, Suite 110,Denver,CO,80203,Candidate,District Councilmember,Council District 1,,,
1/17/2017,821.79,Event Food & Beverage,Hancock for Denver,Fire Restaurant,1201 Broadway,Denver,CO,80203,Candidate,Mayor,,,,,
1/17/2017,575.24,Event Food & Beverage,Hancock for Denver,Fire Restaurant,1201 Broadway,Denver,CO,80203,Candidate,Mayor,,,,,
1/17/2017,2000,Consulting - Fundraising,Hancock for Denver,Philanthropy Expert LLC,11745 E. Evans Ave.,Denver,CO,80014,Candidate,Mayor,,,,,
1/17/2017,1150,Consulting - Compliance/Bookkeeping,Hancock for Denver,Sandy Partyka,PO Box 533,Indian Hills,CO,80454,Candidate,Mayor,,,,,
1/17/2018,456,Community Fundraiser ,Albus Brooks for City Council,MLK Rodeo/Check 1452,PO Box 39163,Denver,CO,80239,Candidate,District Councilmember,Council District 8,,,,
1/17/2018,2800,Consulting - Compliance/Bookkeeping,Hancock for Denver,Sandy Partyka,PO Box 533,Indian Hills,CO,80454,Candidate,Mayor,,,,,
1/17/2018,8500,Consulting - Fundraising,Hancock for Denver,Philanthropy Expert LLC,11745 E. Evans Ave.,Denver,CO,80014,Candidate,Mayor,,,,,
1/17/2018,217.56,Reimbursement - Event Meals/Supplies,Hancock for Denver,Erin Flores,14588 Domino Street,Denver,CO,80134,Candidate,Mayor,,,,,
1/17/2018,500,Consulting Services,Hancock for Denver,Jake Martin,PO Box 8832,Denver,CO,80201,Candidate,Mayor,,,,,
1/17/2018,2500,Event Fee,Hancock for Denver,Colorado Democratic Party,789 Sherman St. Suite 110,Denver,CO,80203,Candidate,Mayor,,,,,
1/17/2018,935,Event Parking,Hancock for Denver,RPM Parking,PO Box 40038,Denver,CO,80204,Candidate,Mayor,,,,,
1/17/2018,4120,Staff Salary Expense,Kayvan for Denver,Brighter Day Strategies,6500 S. Dayton St. D208,Centennial,CO,80111,Candidate,Mayor,,,,,
1/17/2018,1000,Political Contribution,Greenberg Traurig Colorado Political Action Committee,Hancock for Mayor,P.O. Box 46271,Denver,CO,80201,PAC,,,,,,
1/17/2019,50,Stamps,Albus Brooks for City Council,Safeway,757 E 20th Ave,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
1/17/2019,81.49,Office Supplies,Hancock for Denver,Staples,870 S. Colorado Blvd.,Denver,CO,80246,Candidate,Mayor,,,,,
1/17/2019,20,Postage,Friends for Chris Herndon,United States Postal Service,4710 Nome St.,Denver,CO,80239,Candidate,District Councilmember,Council District 11,,,,
1/17/2019,42.32,Phone Service,Ortega at Large,Verizon Wireless,951 16th St Mall,Denver,CO,80202,Candidate,Council-At-Large,,,,,
1/17/2019,366.71,Contribution to Lopez for Denver Clerk and Recorder Campaign,Paul Lopez for Denver,Lopez for Denver - Clerk and Recorder Campaign ,PO Box 40254,Denver,CO,80204,Candidate,District Councilmember,Council District 3,,,,
1/17/2019,75.83,Technology,Denver Psilocybin Initiative,Best Buy / Sheridan,9369 Sheridan Blvd,Westminster,CO,80031,Issue,,,,,,
1/17/2019,27.39,Campaign Materials,Erik Penn for Denver City Council District 8,Donahue Paper Emporium,7286 S. Yosemite St.,Denver,CO,80112,Candidate,District Councilmember,Council District 8,,,,
1/17/2019,1700,Digital marketing,Chris for Denver,Boulder Strategies,1919 14th St,Boulder,CO,80302,Candidate,District Councilmember,Council District 10,,,,
1/17/2019,267,Campaign ads,Blair Taylor for Denver,Front Porch Newspaper,2566 Syracuse St,Denver,CO,80238,Candidate,District Councilmember,Council District 8,,,,
1/17/2019,15,parking,Sawyer for Denver City Council,SP+ Lot 11 ,1345 N Bannock St,Denver,CO,80202,Candidate,District Councilmember,Council District 5,,,,
1/17/2019,28,Campaign PO Box,Friends of Patrick Thibault,USPS,3355 Hudson St.,Denver,CO,80207,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,6.91,lgbtqia training expense,Committee of the People to Elect Miguel Ceballos-Ruiz ,LYFT,185 Berry Street,San Francisco,CA,94107,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,4.18,lgbtqia traning expense ,Committee of the People to Elect Miguel Ceballos-Ruiz ,LYFT,185 Berry Street,San Francisco,CA,94107,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,4.51,lgbtqia training expense,Committee of the People to Elect Miguel Ceballos-Ruiz ,LYFT,185 Berry Street,San Francisco,CA,94107,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,34.35,Fundraising Processing,Committee of the People to Elect Miguel Ceballos-Ruiz ,Vantiv/Worldpay,8500 Governors Hill Drive,Symmes Township,CO,45249,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,135.29,Service fees,Blair Taylor for Denver,ActBlue Vanti eCommerce,PO Box441146,Somerville,MA,2144,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,4.74,bank fee,$15 for DIA,Vantiv,4610 South Ulster Street, Suite 600,Denver,CO,80237,Issue,,,,,
2/11/2019,155.03,Campaign materials,Friends of Patrick Thibault,C&D Printning Inc., 5351 Tennyson St #1c,Denver,CO,80212,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,12.63,Office Supplies,Friends of Patrick Thibault,Dollar Tree,4923 e. Colfax Ave.,Denver,CO,80220,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,39.48,Event food,Friends of Patrick Thibault,Phoenician Kabob,5709 E. Colfax Ave.,Denver,CO,80220,Candidate,District Councilmember,Council District 8,,,,
2/11/2019,7.96,Fees,Let Denver Vote,Vantiv eCommerce,900 Chelmsford Street,Lowell,MA,1851,Issue,,,,,,
2/11/2019,96.68,Food/Beverage,Lopez for Denver,Sloan's Lake Tap & Burger,1565 Raleigh St.,Denver,CO,80204,Candidate,Clerk & Recorder,,,,,
2/11/2019,35.18,Merchant Services Fee,Fryfor5,ActBlue,PO Box 441146 ,Somerville,MA,2144,Candidate,District Councilmember,Council District 5,,,,
2/11/2019,521.77,Mailer Printing Services,Fryfor5,Gamino Printing,1909 S Raritan Street,Denver,CO,80223,Candidate,District Councilmember,Council District 5,,,,
2/11/2019,65.86,OFFICE SUPPLIES,Tate for Mayor,OFFICE DEPOT,2730 S. COLORADO BLVD,Denver,CO,80222,Candidate,Mayor,,,,,
2/11/2019,183.83,Website translation,Lisa For Denver Mayor ,Community Language Cooperative,2525 W Alameda Ave,Denver,CO,80219,Candidate,Mayor,,,,,
2/11/2019,512.51,Fund Raising Expense,Jamie For Denver,Act Blue,PO Box 441146,Somerville,MA,2144,Candidate,Mayor,,,,,
2/11/2019,805,Postage,Jamie For Denver,United States Postal Service,225 S BROADWAY ,Denver,CO,80209,Candidate,Mayor,,,,,
2/11/2019,10.46,Supplies,Sabados For Denver,Home Depot,3870 Quebec St,Denver,CO,80207,Candidate,District Councilmember,Council District 1,,,,
2/11/2019,10000,Consulting,Together Denver,Sewald Hanfling Public Affairs,511 Broadway,Denver,CO,80203,Issue,,,,,,
2/11/2019,1103.1,Website Design,Sabrina for NW Denver,Yellow Dog Printing & Graphics,490 S Santa Fe Dr. Unit A,Denver,CO,80223,Candidate,District Councilmember,Council District 1,,,,
2/11/2019,18.87,Office Supplies,Scott 4 Denver,Staples,7350 W Alameda Ave,Lakewood,CO,80226,Candidate,District Councilmember,Council District 1,,,,
2/12/2016,131.36,Website,Jolon Clark for Denver,GoDaddy,14455 N Hayden Rd Ste 226,Scottsdale,AZ,85260,Candidate,District Councilmember,Council District 7,,,,
2/12/2017,81.45,CR Valentine Event Gift Basket Donation,Debra for Denver,Target,1400 S. Havana St.,Aurora,CO,80012,Candidate,Clerk & Recorder,,,,,
2/12/2018,39.15,Community meeting,Albus Brooks for City Council,Papa John's,1111 E Colfax Avenue,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,,
2/12/2018,37.81,Food for a campaign event,Kayvan for Denver,Rio Grande Mexican Restaurant,1525 Blake Street,Denver,CO,80202,Candidate,Mayor,,,,,
2/12/2019,900,Digital Advertising,Hancock for Denver,Facebook,1 Hacker Way,Menlo Park,CA,94025,Candidate,Mayor,,,,,
2/12/2019,250,Photographer,Jolon Clark for Denver,Optical Fidelity,17522 E. 104th Wy,Commerce City,CO,80022,Candidate,District Councilmember,Council District 7,,,,
2/12/2019,3500,Consulting,Candi for Council ,Brighter Day Strategies,5477 E. Briarwood Circle,Centennial,CO,80122,Candidate,District Councilmember,Council District 9,,,,
2/12/2019,1000,Fundraising Consulting,Candi for Council ,Bison Fundraising,1455 N. Gilpin Street,Denver,CO,80218,Candidate,District Councilmember,Council District 9,,,,
2/12/2019,1.75,Transfer fee,Annie for Denver District 3,Stripe Money,510 Townsend Street,San Francisco,CA,94103,Candidate,District Councilmember,Council District 3,,,,
2/12/2019,1173.5,Consulting services, reimbursement for purchases,Denver Right to Survive Initiative Committee,Raffi Mercuri,1504 Chambers Drive,Boulder,CO,80305,Issue,,,,,
2/12/2019,20,Food for Event,Kalyn 4 Mayor,Food Bridge International,998 Navajo St. ,Denver,CO,80204,Candidate,Mayor,,,,,
2/12/2019,100,VAN Database Payment,Erik Penn for Denver City Council District 8,Actblue, PO Box 441146,Somerville,MA,2144,Candidate,District Councilmember,Council District 8,,,,
2/12/2019,17,Parking Lot 20A,Committee for Veronica Barela Dist. 3,Parking,1417 California St,Denver,CO,80202,Candidate,District Councilmember,Council District 3,,,,
2/12/2019,6.1,Google Ads,Committee of the People to Elect Miguel Ceballos-Ruiz ,Google,1600 Amphitheatre Pkwy,Mountain View,CA,94043,Candidate,District Councilmember,Council District 8,,,,
2/12/2019,5.34,transport ,Committee of the People to Elect Miguel Ceballos-Ruiz ,LYFT,185 Berry Street,San Francisco,CA,94107,Candidate,District Councilmember,Council District 8,,,,
2/12/2019,12.25,lgbtqia traning transport ,Committee of the People to Elect Miguel Ceballos-Ruiz ,San Francisco Bay Area Rapid Transit District,P.O. Box 12688,Oakland,CA,94604,Candidate,District Councilmember,Council District 8,,,,
2/12/2019,28.83,Meeting with Activist ,Committee of the People to Elect Miguel Ceballos-Ruiz ,Fuddruckers,5614 Bay St #232,Emeryville,CA,94608,Candidate,District Councilmember,Council District 8,,,,
1/21/2019,1.61,Event Supplies,Kniech for Council At-Large,Safeway,560 Corona St,Denver,CO,80218,Candidate,Council-At-Large,,,,,
1/21/2019,15,Fees,Sabados For Denver,ActBlue,PO Box 441146,Somerville,MA,2144,Candidate,District Councilmember,Council District 1,,,,
1/21/2019,50,DIGITAL ADVERTISING,Somma for Denver District 1,Facebook,1601 Willow Road,Menlo Park,CA,94025,Candidate,District Councilmember,Council District 1,,,,
1/21/2019,75,Advertising,Jonathan P. Woodley for Denver,Facebook,1 Hacker Way ,Menlo Park,CA,94025,Candidate,District Councilmember,Council District 9,,,,
1/22/2016,2000,Consulting,Friends for Kevin Flynn,Ben Gelt,861 Humboldt St. Apt. C,Denver,CO,80218,Candidate,District Councilmember,Council District 2,,,,
1/22/2016,60,Website hosting,Friends for Kevin Flynn,America's Fish,1782 Platte St.,Denver,CO,80202,Candidate,District Councilmember,Council District 2,,,,
1/22/2018,96.46,Staff Breakfast,Albus Brooks for City Council,Syrup on the Park,1875 York St.,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
1/22/2018,136.08,Constituent - Food & Beverage,Albus Brooks for City Council,The Preservery,3040 Blake St,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
